Version:
Wed Sep 23 12:18:16 EDT 2015
Table: M31 Hectospec Catalog of Old Clusters
Entries are separated by TABS.
Ap is the photometry aperture in arcsecs.
Vel_source is either HS (Hectospec), HX (from various Huxor et al.
    papers), B (Barmby), P (Perrett et al).
Mag_source is either L (LGS images, measured in Caldwell et al 2009),
     B (Barmby), H (from various Huxor et al. papers).
EBV_source reddening estimate, from Caldwell 2011 (H),  Barmby (B), or the median (blank)
Age is in Gyr. Clusters where an age determination was difficult are given "(14)". Blank age values mean that the cluster is obviously old, but no
measurement has been made. Typically that is the case for objects without
Hectospectra.  Masses are in solar units.  
XY are in kpc assuming distance is 770kpc, X is positive at higher RA.
[Fe/H] values are either from integrated light spectroscopic measurements ([Fe/H]_source=HS, 
see Caldwell 2011), or from CMDs (Lit, references in Caldwell 2011).
Table is not up-to-date for the outer clusters.

See Caldwell et al. "Star Clusters in M31. II. Old Cluster Metallicities and Ages from Hectospec Data" 
(http://adsabs.harvard.edu/abs/2011AJ....141...61C) for details.

object    	RA           	DEC          	X     	Y      	VELOCITY	CZERR 	E(B-V)	V    	V_err	Ap    	Vel_source	Mag_source	Age 	[Fe/H]	[Fe/H]_err	[Fe/H]_source	Log_Mass	EBV_source	COMMENTS                                              
B468      	   0:43:12.50	   39:47:57.2	-14.90	 -13.05	        	      	  0.13	18.12	     	      	          	B         	(14)	 -0.73	          	Lit          	    4.92	          	                                                      
B357-G209 	   0:43:13.23	   40:10:56.3	-10.81	  -9.92	  -277. 	  25. 	  0.15	16.61	     	      	B         	B         	(14)	      	          	             	    5.55	B         	                                                      
B155-G210 	   0:43:13.39	   41:03:28.3	 -1.50	  -2.71	  -416.9	   6.7	  0.19	17.90	 0.09	 5.16 	HS        	L         	(14)	 -0.52	      0.14	HS           	    5.08	H         	                                                      
B156-G211 	   0:43:13.73	   41:01:17.9	 -1.87	  -3.02	  -373.9	   8.3	  0.09	16.86	 0.03	 7.74 	HS        	L         	(14)	 -1.22	      0.12	HS           	    5.37	H         	                                                      
B157-G212 	   0:43:14.00	   41:11:19.7	 -0.09	  -1.65	     4.0	  40.2	  0.09	17.59	 0.12	 5.16 	HS        	L         	(14)	 -2.57	      0.29	HS           	    5.08	B         	bulge                                                 
B158-G213 	   0:43:14.41	   41:07:21.2	 -0.78	  -2.21	  -177.7	   9.9	  0.16	14.65	 0.06	 7.74 	HS        	L         	9.1 	 -0.79	      0.11	HS           	    6.34	H         	weak_e                                                
B159      	   0:43:14.65	   41:25:13.5	  2.39	   0.23	  -513.3	  13.5	  0.54	17.35	 0.04	 7.74 	HS        	L         	(14)	 -1.17	      0.20	HS           	    5.73	H         	bulge                                                 
B160-G214 	   0:43:14.93	   41:01:35.6	 -1.79	  -3.02	  -340.1	  20.9	  0.09	18.03	 0.09	 5.16 	HS        	L         	(14)	 -2.76	      0.37	HS           	    4.90	H         	                                                      
B161-G215 	   0:43:15.43	   41:11:25.0	 -0.04	  -1.69	  -442.7	  12.1	  0.18	16.30	 0.05	 5.16 	HS        	L         	(14)	 -1.06	      0.13	HS           	    5.71	H         	bulge                                                 
B162-G216 	   0:43:16.41	   41:24:04.5	  2.23	   0.02	  -139.4	   7.5	  0.21	17.54	 0.07	 5.16 	HS        	L         	(14)	 -0.45	      0.13	HS           	    5.25	H         	weak_e                                                
B163-G217 	   0:43:17.64	   41:27:45.0	  2.91	   0.48	  -161.8	   5.8	  0.21	15.00	 0.11	11.61 	HS        	L         	13.5	 -0.13	      0.11	HS           	    6.26	H         	                                                      
B358-G219 	   0:43:17.86	   39:49:13.1	-14.53	 -13.06	  -315. 	   2. 	  0.13	15.12	     	      	B         	B         	(14)	 -1.92	          	Lit          	    6.12	          	                                                      
B164-V253 	   0:43:18.14	   41:12:29.3	  0.22	  -1.63	    50.9	  14.7	  0.23	17.78	 0.04	 5.16 	HS        	L         	(14)	 -0.29	      0.23	HS           	    5.18	H         	bulge                                                 
B165-G218 	   0:43:18.22	   41:10:54.7	 -0.05	  -1.85	   -68.0	  14.0	  0.15	16.44	 0.08	 7.74 	HS        	L         	(14)	 -2.04	      0.16	HS           	    5.61	H         	                                                      
B167      	   0:43:21.13	   41:14:08.3	  0.59	  -1.50	  -199.8	   7.5	  0.18	17.34	 0.07	 3.87 	HS        	L         	11.7	 -0.36	      0.13	HS           	    5.29	H         	bulge                                                 
B168      	   0:43:22.52	   41:44:05.6	  5.93	   2.56	  -117.1	   6.8	  0.76	18.41	 0.19	 5.16 	HS        	L         	12.4	 -0.60	      0.13	HS           	    5.58	H         	red                                                   
B169      	   0:43:23.00	   41:15:25.4	  0.87	  -1.39	  -127.5	  11.7	  0.44	17.27	 0.03	 5.16 	HS        	L         	(14)	  0.29	      0.15	HS           	    5.64	B         	bulge                                                 
B271      	   0:43:23.07	   41:25:26.4	  2.64	  -0.02	  -352.7	  39.0	  0.59	18.35	 0.08	 7.74 	HS        	L         	(14)	 -1.18	      0.87	HS           	    5.40	H         	weak_e from chelle                                    
B170-G221 	   0:43:23.47	   40:50:41.8	 -3.50	  -4.80	  -289.3	   7.5	  0.21	17.40	 0.05	 5.16 	HS        	L         	(14)	 -0.74	      0.13	HS           	    5.30	H         	                                                      
B272-V294 	   0:43:25.52	   41:37:11.7	  4.79	   1.52	  -116.9	   8.6	  0.46	18.23	 0.12	11.61 	HS        	L         	(14)	 -0.89	      0.20	HS           	    5.28	H         	                                                      
B171-G222 	   0:43:25.61	   41:15:37.2	  0.97	  -1.45	  -264.1	   9.5	  0.19	15.26	 0.08	 7.74 	HS        	L         	12.9	 -0.26	      0.12	HS           	    6.13	H         	bulge                                                 
B172-G223 	   0:43:26.00	   41:21:31.6	  2.03	  -0.65	  -271.9	  10.2	  0.17	16.71	 0.07	 5.16 	HS        	L         	10.7	 -0.60	      0.12	HS           	    5.53	H         	weak_e                                                
B173-G224 	   0:43:28.76	   41:22:37.0	  2.29	  -0.59	  -291.5	   8.3	  0.11	17.45	 0.06	 5.16 	HS        	L         	10.3	 -0.82	      0.14	HS           	    5.16	H         	                                                      
B174-G226 	   0:43:30.31	   41:38:56.2	  5.22	   1.60	  -485.7	  11.6	  0.28	15.40	 0.03	15.48 	HS        	L         	(14)	 -1.04	      0.12	HS           	    6.19	H         	                                                      
B176-G227 	   0:43:30.45	   40:49:11.1	 -3.58	  -5.24	  -538.8	  12.6	  0.13	16.86	 0.19	 5.16 	HS        	L         	(14)	 -1.59	      0.17	HS           	    5.42	H         	                                                      
B177-G228 	   0:43:30.49	   41:05:42.4	 -0.66	  -2.97	  -403.0	   9.1	  0.18	18.30	 0.09	 7.74 	HS        	L         	(14)	 -1.21	      0.15	HS           	    4.91	H         	                                                      
B178-G229 	   0:43:30.79	   41:21:16.4	  2.10	  -0.84	  -151.4	  14.1	  0.1 	14.97	 0.10	15.48 	HS        	L         	(14)	 -1.25	      0.11	HS           	    6.14	H         	                                                      
B179-G230 	   0:43:31.10	   41:18:14.7	  1.58	  -1.27	  -144.6	  11.0	  0.1 	15.34	 0.11	11.61 	HS        	L         	(14)	 -1.02	      0.11	HS           	    5.99	H         	                                                      
B180-G231 	   0:43:31.72	   41:07:46.4	 -0.26	  -2.73	  -195.2	   5.1	  0.19	16.27	 0.15	 3.87 	HS        	L         	11.1	 -0.87	      0.11	HS           	    5.73	H         	                                                      
B181-G232 	   0:43:32.46	   41:29:07.4	  3.54	   0.18	  -256.5	  10.0	  0.13	16.93	 0.09	 7.74 	HS        	L         	12.3	 -0.53	      0.13	HS           	    5.39	H         	g                                                     
H18       	   0:43:36.03	   44:58:59.3	 40.82	  28.95	  -206  	  10  	  0.13	16.64	     	      	HX        	H         	(14)	      	          	             	    5.51	          	                                                      
B182-G233 	   0:43:36.66	   41:08:12.2	 -0.06	  -2.84	  -350.6	   8.2	  0.33	15.42	 0.09	 7.74 	HS        	L         	(14)	 -1.03	      0.11	HS           	    6.24	H         	                                                      
B183-G234 	   0:43:36.94	   41:02:02.4	 -1.14	  -3.69	  -183.2	   5.8	  0.19	15.99	 0.09	 7.74 	HS        	L         	(14)	 -0.52	      0.11	HS           	    5.84	H         	                                                      
B185-G235 	   0:43:37.28	   41:14:43.6	  1.11	  -1.96	  -152.9	   6.8	  0.21	15.58	 0.08	 5.16 	HS        	L         	14.0	 -0.61	      0.11	HS           	    6.03	H         	                                                      
B184-G236 	   0:43:37.52	   41:36:34.5	  4.99	   1.04	  -154.0	   6.9	  0.27	17.46	 0.14	 5.16 	HS        	L         	(14)	  0.14	      0.13	HS           	    5.35	H         	                                                      
B186      	   0:43:38.23	   41:36:24.1	  4.97	   0.99	  -119.2	  10.1	  0.25	19.14	 0.63	 3.87 	HS        	L         	(14)	  0.25	      0.26	HS           	    4.66	H         	weak_e, diffuse                                       
B187-G237 	   0:43:38.64	   41:29:47.1	  3.81	   0.07	   -65.5	  18.0	  0.36	17.29	 0.13	 5.16 	HS        	L         	(14)	 -1.63	      0.28	HS           	    5.53	H         	g                                                     
B274      	   0:43:39.36	   41:31:18.4	  4.10	   0.25	  -333.0	  18.2	  0.13	18.77	 0.22	 7.74 	HS        	L         	    	      	          	             	        	          	                                                      
B188-G239 	   0:43:41.51	   41:24:25.6	  2.94	  -0.77	  -211.6	  14.1	  0.09	17.04	 0.11	 7.74 	HS        	L         	(14)	 -1.66	      0.17	HS           	    5.30	H         	                                                      
B189-G240 	   0:43:42.42	   41:35:23.3	  4.90	   0.71	  -136.9	  11.7	  0.24	17.06	 0.22	11.61 	HS        	L         	(14)	  0.40	      0.16	HS           	    5.48	H         	                                                      
B190-G241 	   0:43:43.39	   41:34:06.0	  4.70	   0.50	   -91.8	  11.2	  0.25	16.91	 0.10	 7.74 	HS        	L         	(14)	 -1.22	      0.12	HS           	    5.55	H         	                                                      
B194-G243 	   0:43:45.18	   41:06:08.7	 -0.20	  -3.40	  -400.0	  12.1	  0.19	17.24	 0.11	 5.16 	HS        	L         	(14)	 -1.40	      0.12	HS           	    5.34	H         	weak_e from chelle                                    
B193-G244 	   0:43:45.52	   41:36:57.6	  5.26	   0.82	   -60.8	   6.1	  0.23	15.33	 0.03	15.48 	HS        	L         	12.9	 -0.11	      0.11	HS           	    6.16	H         	                                                      
B103D-G245	   0:43:47.54	   41:27:08.0	  3.57	  -0.59	  -170.9	   8.1	  0.18	17.73	 0.05	 7.74 	HS        	L         	10.9	 -0.77	      0.14	HS           	    5.13	H         	g                                                     
B472-D064 	   0:43:48.42	   41:26:53.2	  3.55	  -0.66	  -117.5	  12.6	  0.12	15.21	 0.06	 7.74 	HS        	L         	(14)	 -0.98	      0.11	HS           	    6.07	H         	                                                      
B196-G246 	   0:43:48.57	   40:42:36.8	 -4.27	  -6.75	  -312.8	   6.7	  0.23	17.40	     	      	HS        	B         	(14)	 -1.08	      0.13	HS           	    5.33	H         	                                                      
B197-G247 	   0:43:49.72	   41:30:10.1	  4.17	  -0.25	   -60.0	   7.6	  0.3 	17.77	 0.09	 7.74 	HS        	L         	14.0	 -0.33	      0.14	HS           	    5.27	H         	weak_e                                                
B199-G248 	   0:43:49.83	   40:58:14.8	 -1.48	  -4.64	  -367.1	   7.9	  0.13	17.52	 0.05	 7.74 	HS        	L         	(14)	 -1.47	      0.12	HS           	    5.16	H         	                                                      
B198-G249 	   0:43:50.11	   41:31:52.6	  4.48	  -0.03	    -2.3	   7.7	  0.22	17.91	 0.16	 7.74 	HS        	L         	(14)	 -1.02	      0.16	HS           	    5.11	H         	weak_e                                                
B200      	   0:43:50.44	   41:29:22.9	  4.05	  -0.38	  -361.3	  33.5	  0.34	18.29	 0.16	 7.74 	HS        	L         	(14)	 -1.45	      0.30	HS           	    5.11	H         	bulge weak_e, (no back sub)                           
B201-G250 	   0:43:52.83	   41:09:58.1	  0.67	  -3.13	  -700.1	   5.1	  0.12	16.18	 0.12	 7.74 	HS        	L         	(14)	 -1.14	      0.12	HS           	    5.68	H         	                                                      
B202-G251 	   0:43:54.69	   41:00:32.5	 -0.94	  -4.49	  -342.6	   6.7	  0.2 	17.77	 0.03	 7.74 	HS        	L         	(14)	 -1.20	      0.13	HS           	    5.14	H         	                                                      
B203-G252 	   0:43:55.83	   41:32:35.1	  4.75	  -0.12	  -229.2	   7.6	  0.17	16.69	 0.07	11.61 	HS        	L         	(14)	 -0.80	      0.12	HS           	    5.54	H         	                                                      
B204-G254 	   0:43:56.42	   41:22:02.9	  2.90	  -1.59	  -356.8	   9.3	  0.13	15.68	 0.07	 5.16 	HS        	L         	12.1	 -0.69	      0.11	HS           	    5.89	H         	                                                      
B361-G255 	   0:43:57.10	   40:14:01.2	 -9.11	 -10.98	  -341.5	  10.2	  0.12	17.10	     	      	HS        	B         	(14)	 -1.36	      0.18	HS           	    5.31	H         	                                                      
B205-G256 	   0:43:58.17	   41:24:38.3	  3.41	  -1.29	  -369.8	  11.0	  0.12	15.44	 0.09	11.61 	HS        	L         	7.7 	 -0.93	      0.12	HS           	    5.98	H         	                                                      
B206-G257 	   0:43:58.63	   41:30:18.1	  4.42	  -0.53	  -190.0	  12.5	  0.1 	15.06	 0.07	 7.74 	HS        	L         	(14)	 -1.14	      0.11	HS           	    6.10	H         	                                                      
B110D-V296	   0:43:59.14	   41:36:41.3	  5.56	   0.34	  -251.5	  12.2	  0.28	18.60	 0.09	 3.87 	HS        	L         	(14)	 -1.36	      0.21	HS           	    4.91	H         	compact metal poor? or young?, vel-model= -152kms     
B207-G258 	   0:43:59.44	   41:06:10.7	  0.18	  -3.87	  -161.2	  12.2	  0.08	17.27	 0.05	 7.74 	HS        	L         	(14)	 -1.26	      0.15	HS           	    5.19	H         	                                                      
B208-G259 	   0:44:00.08	   41:23:11.6	  3.20	  -1.55	  -253.5	  10.4	  0.21	18.05	 0.07	 7.74 	HS        	L         	10.5	 -0.37	      0.16	HS           	    5.04	H         	                                                      
M009      	   0:44:00.83	   41:17:12.5	  2.16	  -2.40	  -349.2	  20.1	  0.12	18.01	 0.12	 5.16 	HS        	L         	(14)	 -1.77	      0.26	HS           	    4.95	H         	weak_e                                                
G260      	   0:44:00.85	   42:34:48.4	 15.88	   8.28	    16. 	  26. 	  0.12	17.01	     	      	B         	B         	(14)	      	          	             	    5.35	B         	                                                      
B209-G261 	   0:44:02.63	   41:25:26.7	  3.66	  -1.33	  -461.0	  12.7	  0.13	16.60	 0.06	 7.74 	HS        	L         	(14)	 -1.03	      0.12	HS           	    5.52	H         	                                                      
B211-G262 	   0:44:02.92	   41:20:04.8	  2.72	  -2.08	  -140.2	  16.4	  0.14	16.80	 0.13	 5.16 	HS        	L         	(14)	 -1.39	      0.13	HS           	    5.46	H         	                                                      
B212-G263 	   0:44:03.05	   41:04:56.4	  0.05	  -4.16	  -401.3	  11.3	  0.16	15.39	 0.10	11.61 	HS        	L         	(14)	 -1.70	      0.12	HS           	    6.05	H         	                                                      
B213-G264 	   0:44:03.52	   41:30:38.7	  4.61	  -0.64	  -566.9	  10.1	  0.17	16.83	 0.07	 7.74 	HS        	L         	(14)	 -0.77	      0.12	HS           	    5.48	H         	                                                      
B214-G265 	   0:44:03.96	   41:26:18.6	  3.85	  -1.25	  -274.7	  14.9	  0.15	17.65	 0.07	 5.16 	HS        	L         	(14)	 -1.32	      0.14	HS           	    5.13	H         	                                                      
B215-G266 	   0:44:06.40	   41:31:43.7	  4.87	  -0.59	  -150.8	   7.2	  0.14	17.23	 0.09	 7.74 	HS        	L         	(14)	 -0.57	      0.12	HS           	    5.29	H         	                                                      
G268      	   0:44:10.01	   42:46:57.8	 18.26	   9.66	  -321. 	  26. 	  0.18	16.63	     	      	B         	B         	(14)	      	          	             	    5.57	B         	                                                      
B217-G269 	   0:44:10.60	   41:23:51.2	  3.59	  -1.81	   -15.1	  11.7	  0.13	16.52	 0.07	 7.74 	HS        	L         	13.9	 -0.85	      0.12	HS           	    5.56	H         	                                                      
M019      	   0:44:11.71	   41:23:54.0	  3.63	  -1.84	  -260.6	  16.5	  0.12	18.35	 0.09	 5.16 	HS        	L         	(14)	 -1.36	      0.18	HS           	    4.81	H         	                                                      
B218-G272 	   0:44:14.33	   41:19:19.4	  2.88	  -2.56	  -220.2	   5.6	  0.17	14.76	 0.11	11.61 	HS        	L         	8.7 	 -0.78	      0.11	HS           	    6.31	H         	                                                      
H19       	   0:44:14.88	   38:25:42.2	-27.81	 -26.52	  -272  	  10  	  0.13	17.35	     	      	HX        	H         	(14)	      	          	             	    5.22	          	                                                      
B219-G271 	   0:44:15.04	   40:56:47.3	 -1.08	  -5.69	  -503.0	   6.3	  0.17	16.39	     	      	HS        	B         	(14)	 -0.56	      0.12	HS           	    5.66	H         	                                                      
B363-G274 	   0:44:17.25	   40:33:35.1	 -5.12	  -8.96	  -374.7	  18.3	  0.13	17.86	     	      	HS        	B         	(14)	 -2.13	      0.25	HS           	    5.02	H         	                                                      
B220-G275 	   0:44:19.44	   41:30:35.0	  5.01	  -1.18	  -275.4	  11.5	  0.13	16.51	 0.13	11.61 	HS        	L         	(14)	 -1.48	      0.22	HS           	    5.56	H         	                                                      
B221-G276 	   0:44:23.07	   41:33:06.4	  5.55	  -0.95	  -457.0	  10.2	  0.26	16.77	 0.09	11.61 	HS        	L         	(14)	 -1.14	      0.13	HS           	    5.62	H         	                                                      
B224-G279 	   0:44:27.10	   41:28:50.0	  4.89	  -1.67	  -139.2	  20.6	  0.15	15.31	 0.03	15.48 	HS        	L         	(14)	 -1.47	      0.14	HS           	    6.06	H         	                                                      
B279-D068 	   0:44:27.99	   41:44:10.3	  7.63	   0.42	  -114.6	   8.9	  0.29	18.60	 0.18	 5.16 	HS        	L         	(14)	  0.04	      0.19	HS           	    4.92	H         	                                                      
B225-G280 	   0:44:29.55	   41:21:35.8	  3.68	  -2.75	  -158.6	   9.7	  0.12	14.15	     	      	HS        	B         	10.7	 -0.46	      0.11	HS           	    6.49	H         	                                                      
B228-G281 	   0:44:33.21	   41:41:27.8	  7.28	  -0.13	  -437.8	   9.5	  0.24	16.79	 0.08	11.61 	HS        	L         	(14)	 -0.69	      0.12	HS           	    5.58	H         	                                                      
B229-G282 	   0:44:33.83	   41:38:28.5	  6.77	  -0.56	   -39.2	  26.6	  0.11	17.17	 0.03	15.48 	HS        	L         	(14)	 -2.06	      0.23	HS           	    5.27	H         	                                                      
B230-G283 	   0:44:35.18	   40:57:12.2	 -0.48	  -6.30	  -575.0	  13.2	  0.12	16.05	     	      	HS        	B         	(14)	 -1.87	      0.13	HS           	    5.73	H         	                                                      
B365-G284 	   0:44:36.46	   42:17:20.9	 13.70	   4.72	   -60.7	  12.4	  0.19	16.89	 0.15	 7.74 	HS        	L         	(14)	 -1.39	      0.13	HS           	    5.48	H         	                                                      
B231-G285 	   0:44:38.59	   41:27:47.0	  5.01	  -2.20	  -305.7	   8.4	  0.15	17.26	 0.03	 5.16 	HS        	L         	(14)	 -0.98	      0.14	HS           	    5.29	H         	                                                      
B232-G286 	   0:44:40.23	   41:15:00.7	  2.79	  -4.01	  -192.5	  10.8	  0.21	15.62	 0.08	 7.74 	HS        	L         	(14)	 -1.95	      0.12	HS           	    6.02	H         	                                                      
B233-G287 	   0:44:42.12	   41:43:54.6	  7.94	  -0.09	   -72.0	  11.2	  0.17	15.83	 0.09	11.61 	HS        	L         	(14)	 -1.07	      0.11	HS           	    5.88	H         	                                                      
PAndAS-36 	   0:44:45.5 	   43:26:34  	 26.16	  13.98	  -399  	  10  	  0.13	     	     	      	HX        	          	    	      	          	             	        	          	                                                      
B234-G290 	   0:44:46.38	   41:29:17.8	  5.47	  -2.24	  -202.2	   9.5	  0.23	16.81	 0.08	 7.74 	HS        	L         	(14)	 -0.76	      0.15	HS           	    5.56	H         	weak_e from chelle                                    
B366-G291 	   0:44:46.72	   42:03:50.5	 11.58	   2.52	  -135.7	  15.2	  0.11	16.48	 0.19	 7.74 	HS        	L         	(14)	 -1.97	      0.17	HS           	    5.55	H         	                                                      
B283-G296 	   0:44:55.37	   41:17:00.2	  3.54	  -4.24	   -89.9	   9.8	  0.19	18.01	 0.12	 7.74 	HS        	L         	(14)	 -0.78	      0.18	HS           	    5.04	H         	                                                      
B235-G297 	   0:44:57.93	   41:29:24.0	  5.79	  -2.61	   -90.7	  11.1	  0.14	16.42	 0.12	 7.74 	HS        	L         	10.6	 -0.87	      0.12	HS           	    5.61	H         	                                                      
B236-G298 	   0:45:08.90	   40:50:28.6	 -0.79	  -8.35	  -393.1	  14.1	  0.1 	17.38	     	      	HS        	B         	(14)	 -1.49	      0.21	HS           	    5.18	H         	                                                      
B237-G299 	   0:45:09.22	   41:22:34.6	  4.88	  -3.93	   -99.0	  15.2	  0.18	17.31	 0.25	11.61 	HS        	L         	(14)	 -1.78	      0.20	HS           	    5.30	H         	                                                      
B370-G300 	   0:45:14.39	   41:57:40.8	 11.20	   0.76	  -352.7	  13.7	  0.27	16.28	 0.09	 7.74 	HS        	L         	(14)	 -1.56	      0.14	HS           	    5.83	H         	                                                      
B238-G301 	   0:45:14.67	   41:19:37.1	  4.50	  -4.52	   -44.2	   5.3	  0.16	16.41	 0.09	11.61 	HS        	L         	(14)	 -0.73	      0.12	HS           	    5.64	H         	                                                      
B239-M74  	   0:45:15.6 	   41:35:17.2	  7.29	  -2.38	  -245.9	  10.9	  0.12	17.19	 0.05	 7.74 	HS        	L         	7.6 	 -0.94	      0.14	HS           	    5.28	B         	                                                      
B240-G302 	   0:45:25.04	   41:06:22.1	  2.43	  -6.69	   -50.4	   7.4	  0.13	15.23	     	      	HS        	B         	(14)	 -1.48	      0.11	HS           	    6.07	H         	                                                      
HEC8      	   0:45:26.90	   40:13:46.9	 -6.79	 -14.03	        	      	  0.14	19.19	     	      	          	H         	(14)	      	          	             	    4.50	          	                                                      
B287      	   0:45:28.49	   41:30:04.8	  6.70	  -3.53	  -296.7	  29.1	  0.07	18.08	 0.34	 7.74 	HS        	L         	(14)	 -1.40	      0.32	HS           	    4.86	H         	                                                      
B372-G304 	   0:45:33.39	   42:00:24.4	 12.17	   0.51	  -226.9	   8.3	  0.13	16.56	 0.15	 7.74 	HS        	L         	(14)	 -1.12	      0.12	HS           	    5.54	H         	                                                      
B373-G305 	   0:45:41.85	   41:45:33.6	  9.78	  -1.82	  -216.2	   7.3	  0.25	15.70	 0.09	 7.74 	HS        	L         	13.7	 -0.50	      0.11	HS           	    6.03	H         	                                                      
V129-BA4  	   0:45:44.69	   41:51:59.4	 10.98	  -1.02	  -640.3	  14.1	  0.18	17.05	 0.03	 7.74 	HS        	L         	(14)	 -1.43	      0.13	HS           	    5.41	H         	weak_e                                                
B375-G307 	   0:45:45.58	   41:39:42.4	  8.84	  -2.76	  -199.0	   6.9	  0.21	17.51	 0.10	11.61 	HS        	L         	11.8	 -0.90	      0.13	HS           	    5.26	H         	                                                      
B377-G308 	   0:45:48.28	   40:38:04.2	 -1.94	 -11.39	  -216.6	  10.5	  0.09	17.14	     	      	HS        	B         	(14)	 -1.48	      0.13	HS           	    5.26	H         	                                                      
B270D     	   0:45:49.21	   41:01:49.2	  2.26	  -8.13	    39.8	  17.5	  0.13	17.50	     	      	HS        	G         	(14)	 -2.10	      0.31	HS           	    5.16	          	                                                      
H20       	   0:45:52.51	   39:55:52.2	 -9.26	 -17.38	        	      	  0.14	18.63	     	      	          	H         	(14)	      	          	             	    4.73	          	                                                      
B378-G311 	   0:45:57.24	   41:53:31.1	 11.57	  -1.22	  -247.5	  15.2	  0.13	17.56	 0.07	 7.74 	HS        	L         	(14)	 -1.59	      0.23	HS           	    5.14	H         	                                                      
B379-G312 	   0:45:58.83	   40:42:31.3	 -0.88	 -11.12	  -333.2	   5.5	  0.16	16.13	     	      	HS        	B         	10.5	 -0.40	      0.11	HS           	    5.75	H         	                                                      
B381-G315 	   0:46:06.54	   41:20:58.8	  6.09	  -6.04	   -78.2	  12.5	  0.24	15.76	     	      	HS        	B         	(14)	 -1.12	      0.14	HS           	    6.00	H         	                                                      
B486-G316 	   0:46:08.62	   40:58:03.6	  2.11	  -9.29	  -219.7	  15.1	  0.14	17.52	     	      	HS        	B         	(14)	 -1.38	      0.20	HS           	    5.17	H         	                                                      
B382-G317 	   0:46:10.32	   41:37:40.5	  9.12	  -3.85	  -295.4	  11.2	  0.18	17.36	 0.06	 7.74 	HS        	L         	(14)	 -1.91	      0.18	HS           	    5.28	H         	                                                      
B383-G318 	   0:46:11.94	   41:19:41.4	  6.00	  -6.40	  -227.6	   5.8	  0.2 	15.33	     	      	HS        	B         	13.6	 -0.61	      0.11	HS           	    6.12	H         	                                                      
B384-G319 	   0:46:21.93	   40:16:59.6	 -4.76	 -15.44	  -358.4	   6.8	  0.1 	15.79	     	      	HS        	B         	13.5	 -0.68	      0.11	HS           	    5.81	H         	                                                      
B386-G322 	   0:46:27.00	   42:01:52.8	 13.81	  -1.04	  -391.8	  11.3	  0.18	15.69	 0.09	 7.74 	HS        	L         	(14)	 -1.06	      0.11	HS           	    5.95	H         	                                                      
B387-G323 	   0:46:33.51	   40:44:13.4	  0.33	 -12.04	    12.1	  14.0	  0.08	16.98	     	      	HS        	B         	(14)	 -2.22	      0.19	HS           	    5.31	H         	                                                      
G327-MVI  	   0:46:49.49	   42:44:46.7	 21.93	   4.20	  -270.3	   0.2	  0.12	15.94	     	      	CL        	B         	(14)	 -1.65	      0.07	HS           	    5.78	B         	                                                      
B391-G328 	   0:46:58.10	   41:33:56.5	  9.71	  -5.94	  -324.2	   9.7	  0.24	17.28	     	      	HS        	B         	(14)	 -1.19	      0.16	HS           	    5.39	H         	                                                      
B393-G330 	   0:47:01.20	   41:24:06.3	  8.06	  -7.41	  -371.6	  14.5	  0.17	16.93	     	      	HS        	B         	(14)	 -0.95	      0.21	HS           	    5.44	H         	                                                      
B396-G335 	   0:47:25.15	   40:21:42.1	 -2.26	 -16.90	  -612.4	  28.3	  0.08	17.38	     	      	HS        	B         	(14)	 -1.98	      0.31	HS           	    5.15	H         	                                                      
B397-G336 	   0:47:27.23	   41:12:10.4	  6.65	  -9.93	  -118.8	  14.4	  0.22	16.53	     	      	HS        	B         	(14)	 -1.24	      0.15	HS           	    5.66	H         	                                                      
G339-BA30 	   0:47:50.21	   43:09:16.4	 27.79	   5.67	    33. 	  26. 	  0.13	17.19	     	      	B         	B         	(14)	      	          	             	    5.29	          	                                                      
B398-G341 	   0:47:57.78	   41:48:45.6	 13.86	  -5.83	  -242.7	  13.0	  0.25	17.46	     	      	HS        	B         	(14)	 -0.42	      0.24	HS           	    5.33	H         	                                                      
B399-G342 	   0:47:59.55	   41:35:28.3	 11.58	  -7.74	  -427.8	  27.1	  0.17	17.28	     	      	HS        	B         	(14)	 -1.72	      0.50	HS           	    5.30	H         	                                                      
B400-G343 	   0:48:01.45	   42:25:33.2	 20.41	  -0.81	  -290. 	  40. 	  0.02	16.50	 0.08	 7.74 	B         	L         	(14)	      	          	             	    5.43	B         	                                                      
B401-G344 	   0:48:08.50	   41:40:41.9	 12.73	  -7.31	  -326.1	  20.7	  0.18	16.83	     	      	HS        	B         	(14)	 -1.88	      0.34	HS           	    5.49	H         	                                                      
PAndAS-37 	   0:48:26.5 	   37:55:42  	-26.22	 -39.41	  -404  	  10  	  0.13	     	     	      	HX        	          	    	      	          	             	        	          	                                                      
B402-G346 	   0:48:36.11	   42:01:34.8	 17.11	  -5.28	  -448.9	  24.2	  0.14	17.42	 0.13	 7.74 	HS        	L         	    	      	          	             	        	B         	                                                      
BA11      	   0:48:45.59	   42:23:37.7	 21.21	  -2.50	   -97  	  12  	  0.13	17.66	     	      	P         	B         	(14)	      	          	             	    5.10	          	                                                      
H21       	   0:48:50.57	   41:08:36.4	  8.22	 -13.18	        	      	  0.14	18.69	     	      	          	H         	(14)	      	          	             	    4.70	          	                                                      
